courseType,courseNumber,courseTitle
AB,1531,Elementary Arabic I
AB,1532,Elementary Arabic II
AB,1533,Elementary Arabic III
AB,2531,Intermediate Arabic I
AB,2532,Intermediate Arabic II
AB,2533,Intermediate Arabic III
ACC,2060,Financial Statements For Decision Making
AE,2110,Introduction to Incompressible Fluid Dynamics
AE,2210,Introduction to Thermal Engineering
AE,230X,Introduction to Dynamics for Aerospace Engineering
AE,2310,Introduction to Aerospace Control Systems
AE,2320,Introduction to Orbital Mechanics
AE,2410,Introduction to Aerospace Structures
AE,2550,Atmospheric And Space Environments
AE,3010,Experimentation and Data Science with Aerospace Engineering Applications
AE,3110,Fundamentals of Compressible Fluid Dynamics
AE,3120,Fundamentals of Aerodynamics
AE,3310,Fundamentals of Navigation and Communication
AE,3420,Fundamentals of Aerospace Structures
AE,3430,Fundamentals of Composite Materials
AE,4210,Fundamentals of Air-Breathing Propulsion
AE,4220,Fundamentals of Rocket Propulsion
AE,4310,Fundamentals of Aircraft Dynamics and Control
AE,4320,Fundamentals of Spacecraft Dynamics and Control
AE,4410,Fundamentals of Structural Dynamics
AE,4510,Aircraft Design
AE,4520,Spacecraft and Mission Design
AE,5032,Aerospace Engineering Seminar
AE,5093,ST: Scientific Deep Learning for Engineers
AE,5131,Incompressible Fluid Dynamics
AE,5132,Compressible Fluid Dynamics
AE,5133,Kinetic Theory of Gases and Applications
AE,5231,Air Breathing Propulsion
AE,5232,Spacecraft Propulsion
AE,5233,Combustion
AE,5234,Sustainable Energy Systems
AE,5331,Linear Control Systems
AE,5333,Optimal Control for Aerospace Applications
AE,5334,Spacecraft Dynamics and Control
AE,5431,Solid Mechanics for Aerospace Structures (2
AE,5432,Composite Materials
AE,5531,Applied Computational Methods for Partial Differential Equations
AE,601,ST: Scientific Deep Learning for Engineers and Scientists
AE,6433,Aeroelasticity
AR,1100,Essentials Of Art
AR,1101,Digital Imaging And Computer Art
AR,1111,Introduction To Art History
AR,1400,Digital Photography
AR,2048,Technical Art And Character Rigging
AR,2101,3d Modeling I
AR,2111,Modern Art
AR,2114,Modern Architecture In The American Era, 1750-2001 And Beyond
AR,2115,Topics in Architecture since 1960
AR,2202,Figure Drawing
AR,2222,2d Animation I
AR,2301,Graphic Design
AR,2333,3d Animation I
AR,2401,Video Production
AR,2700,Digital Painting
AR,2740,3d Environmental Modeling
AR,2750,Topics In Studio Art: Kinetic Art
AR,2750,Topics In Studio Art: Art in the Makerspace
AR,2750,Topics In Studio Art: Aesthetics, Visual Design, and UI
AR,2750,Topics In Studio Art: Contemporary Miniature Painting
AR,2750,Topics In Studio Art: Digital Photography
AR,2750,Topics In Studio Art: Tessellations as Art
AR,2750,Topics In Studio Art: Mythical Creatures and Mountains
AR,3101,3d Modeling II
AR,3112,Modernism, Mass Culture, And The Avant-Garde
AR,3150,Light, Vision And Understanding
AR,3200,Interactive Electronic Arts
AR,3210,Human Figure in Motion
AR,3222,2d Animation II
AR,3333,3d Animation II
AR,3700,Concept Art And Creative Illustration
ARCH,500,Thesis Research Seminar
AREN,2002,Architectural Design I
AREN,2004,Architectural Design II - Light And Lighting Systems
AREN,2023,Introduction To Architectural Engineering Systems
AREN,2025,Building Electrical Systems
AREN,3002,Architectural Design III
AREN,3003,Principles Of Hvac Design For Buildings
AREN,3006,Advanced Hvac System Design
AREN,3020,Architectural Design IV - Building Energy Simulation
AREN,3022,Architectural Design V - Building Envelope Design
AREN,3024,Building Physics
AREN,400X,AI-Aided Parametric Design and Fabrication
AS,1001,Heritage and Values I (General Military Course)
AS,1002,Heritage and Values II (General Military Course)
AS,1003,Heritage and Values III (General Military Course)
AS,1004,Heritage and Values IV (General Military Course)
AS,2001,Team and Leadership Fundamentals I (General Military Course)
AS,2002,Team and Leadership Fundamentals II (General Military Course)
AS,2003,Team and Leadership Fundamentals III (General Military Course)
AS,2004,Team and Leadership Fundamentals IV (General Military Course)
AS,3001,Leading People and Effective Communication I (Professional Officer Course)
AS,3002,Leading People and Effective Communication II (Professional Officer Course)
AS,3003,Leading People and Effective Communication III (Professional Officer Course)
AS,3004,Leading People and Effective Communication IV (Professional Officer Course)
AS,4001,National Security/Commissioning Preparation I (Professional Officer Course)
AS,4002,National Security/Commissioning Preparation II (Professional Officer Course)
AS,4003,National Security/Commissioning Preparation III (Professional Officer Course)
AS,4004,National Security/Commissioning Preparation IV (Professional Officer Course)
BB,1001,Introduction To Biology
BB,1002,Environmental Biology
BB,1003,Explrng Bioinfmtcs & Compu Bio
BB,1004,Human Biology
BB,1101,Foundations of Cellular and Molecular Biotechnology
BB,1102,Foundations of Ecology and Environmental Biology
BB,1801,Foundations of Biology and Biotechnology Laboratory
BB,2003,Fundamentals Of Microbiology
BB,2030,Plant Diversity
BB,2040,Principles Of Ecology
BB,2101,Foundations of Physiology
BB,2550,Cell Biology
BB,2802,Enzymes, Proteins, and Purification Laboratory
BB,2803,Anatomy and Physiology Laboratory
BB,2804,Ecology, Environment, and Animal Behavior Laboratory
BB,2815,Microbial and Molecular Investigations Laboratory (
BB,2920,Genetics
BB,292X,Urban Ecology and Environmental Justice
BB,3003,Medical Microbiology: Plagues Of The Modern World
BB,3060,Animal Behavior
BB,3080,Neurobiology
BB,3101,Human Anatomy & Physiology: Movement And Communication
BB,3102,Human Anatomy & Physiology: Transport And Maintenance
BB,3120,Plant Physiology
BB,3620,Developmental Biology
BB,3813,Animal Cell Culture Techniques Laboratory
BB,3815,Physiologic Systems Laboratory
BB,3821,Microscopy Laboratory
BB,3825,Plant Physiology Laboratory
BB,3827,Molecular Biology and Genetic Engineering Laboratory
BB,3830,Immunotherapies Laboratory
BB,3840,Design and Expression of Biomolecules Laboratory
BB,3870,Cell Culture Models Laboratory
BB,3920,Immunology
BB,3950,Molecular Biology
BB,4001,Bioinformatics
BB,402X,Quantitative Biology
BB,4050,Cancer Biology
BB,4190,Regulation Of Gene Expression
BB,4260,Synthetic Biology
BB,4900,Advanced Topics in Biology and Biotechnology
BB,501,Seminar
BB,504,Molecular Biology of the Cell
BB,505,Fermentation Biology
BB,508,Animal Cell Culture
BB,509,Scale Up Of Bioprocessing
BB,526,Synthetic Biology
BB,550,Cancer Biology
BB,552,Scientific Writing And Proposal Development
BB,554,Journal Club
BB,560,Methods Of Protein Purification And Downstream Processing
BB,561,Model Systems: Experimental Approaches And Applications
BB,562,Cell Cycle Regulation
BB,565,Virology
BB,570,ST: Quantitative Biology
BB,570,ST: Biomanufacturing Process Control and Statistical Tools
BB,570,ST: Medical Immunology
BB,570,ST: Advanced Topics in Biotechnology
BB,570,ST: Genetic Engineering of Expression Systems
BB,570,ST: Practical Process Control
BB,570,ST: Antibody Therapeutics
BB,575,Advanced Genetics And Cellular Biology
BB,581,Bioinformatics
BB,590,Advanced Topics in Biology and Biotechnology
BCB,1003,Explrng Bioinfmtcs & Compu Bio
BCB,4001,Bioinformatics
BCB,402X,Quantitative Biology
BCB,501,Bioinformatics
BCB,504,Statistical Methods In Genetics And Bioinformatics
BCB,510,BCB Seminar
BCB,555,Journal Club in Quantitative Cell Biology
BCB,590,ST: Quantitative Biology
BCB,590,ST: RNASeq Analysis
BCB,590,ST: Bioinformatics of Host-Pathogen Interactions
BME,1004,Introduction To Programming In Matlab
BME,2001,Introduction To Biomaterials
BME,2210,Biomedical Signals, Instruments And Measurements
BME,2211,Biomedical Data Analysis
BME,2502,Introduction To Biomechanics: Stress Analysis
BME,2610,Introduction To Bioprocess Engineering
BME,3012,Biomedical Sensors Laboratory: Techniques
BME,3013,. Biomedical Instrumentation Laboratory: Techniques
BME,3014,Physiological Signals Laboratory: Techniques
BME,3111,Physiology And Engineering
BME,3112,Human Physiology for Biomedical Engineers
BME,311X,Clinical Devices Laboratory: Techniques
BME,3300,Biomedical Engineering Design
BME,3505,Solid Biomechanics Laboratory: Techniques
BME,3507,Skeletal Biomechanics Laboratory: Techniques
BME,3610,Transport Analysis In Bioengineering
BME,3811,Biomaterials Laboratory: Techniques
BME,3813,Cellular Engineering Laboratory: Techniques
BME,4011,Biomedical Signal Analysis
BME,4012,Biomedical Sensors and Instrumentation Laboratory: Applications
BME,4023,Biomedical Instrumentation Design
BME,4201,Biomedical Imaging
BME,4301,Biomedical Capstone - Design from the Margins
BME,4503,Computational Biomechanics
BME,4504,Biomechanics
BME,4505,Solid Biomechanics Laboratory: Applications
BME,4507,Skeletal Biomechanics Laboratory: Applications
BME,4606,Biofluids
BME,4607,Biotransport Laboratory: Application
BME,4813,Cellular Engineering Laboratory: Applications
BME,4814,Biomaterials
BME,4828,Biomaterial - Tissue Interactions
BME,4831,Drug Delivery
BME,520,Biomechanics And Robotics
BME,523,Biomedical Instrumentation
BME,531,Biomaterials In The Design Of Medical Devices
BME,532,Medical Device Regulation
BME,533,Medical Device Innovation and Development
BME,552,Tissue Mechanics
BME,553,Biomechanics Of Orthopaedic Devices
BME,560,Physiology For Engineers
BME,562,Laboratory Animal Surgery
BME,580,Biomedical Robotics
BME,591,Graduate Seminar
BME,592,Healthcare Systems And Clinical Practice
BME,593,Scientific Communication
BME,595,ST: Value Creation for Graduate Research
BME,595,ST: Medical Devices for Global Health
BME,595,ST: Computational Modeling for Biofluid and Medical Devices
BME,595,ST: Wearable/Mobile Sensors and Systems
BME,595,ST: Biofabrication
BME,595,ST: Lab Automation
BUS,1020,Global Environment Of Business Decisions
BUS,2001,WPI Means Business
BUS,2020,The Legal Environment Of Business Decisions
BUS,2080,Data Analysis For Decision Making
BUS,500,Business Law, Ethics And Social Responsibility
BUS,546,Managing Technological Innovation
BUS,590,Strategic Management
BUS,594,Data-driven Business Strategy
BUS,596,Master Of Science Capstone Project
BUS,599,Capstone Project
BUS,631,Research Methods and the Research Process
BUS,632,Qualitative Research Methods
BUS,633,Quantitative Research Method
BUS,651,Seminar on Designing and Conducting Research Studies
BUS,691,Graduate Seminar
CE,1030,Civil Engineering And Computer Fundamentals
CE,2000,Analytical Mechanics I
CE,2001,Analytical Mechanics II
CE,2002,Introduction To Analysis And Design
CE,2020,Land Surveying
