courseType,courseNumber,courseTitle
MU,2300,Foundations Of Music Technology
CS,4032,Numerical Methods For Linear And Nonlinear Systems
ECE,596,Graduate Seminars
ACC,2060,Financial Statements For Decision Making
DEV,530,"Ethics and Social Justice in Science, Engineering and Development"
OIE,2600,Scripting for Process and Productivity Improvement
HU,3900,INQ SEM: Rhetoric & Motivation in Exercise and Sport
EN,3219,Advanced Creative Writing: Creative Nonfiction
AR,2115,Topics in Architecture since 1960
CS,4432,Database Systems II
MME,524,"Probability, Statistics And Data Analysis I"
MME,532,Differential Equations
DS,1010,Data Science I: Introduction To Data Science
RBE,501,Robot Dynamics
CH,555,ST: Metals in Biology
ID,2050,SOC SCI RES-IQP- London England (WI)
IMGD,3222,2d Animation II
WR,4210,Medical Writing
ECE,3405,Foundations and Trends in Machine Learning for Engineering
CS,5084,Introduction To Algorithms: Design And Analysis
CH,555,AT: Drug Regulations
CS,528,Mobile And Ubiquitous Computing
NSE,515,Radiation Biology
ID,3530,Spanish Film/Media: Cultural Issues
CH,555,Advanced Topics: Supramolecular Chemistry
MA,4631,Probability And Mathematical Statistics I
CE,519,Advanced Structural Analysis
OIE,2850,Engineering Economics
MTE,511,Structure And Properties Of Engineering Materials
CS,536,Programming Language Design
GN,3512,Advanced German II: National Identities and Storie
MA,1971,Bridge To Higher Mathematics
ME,5200,Mechanical Vibrations
FP,553,Fire Protection Systems
WR,2210,Business Writing And Communication
IMGD,5010,IMGD Fundamentals
EN,3234,Modern American Poetry
WPE,2005,Varsity Women's Volleyball Team
ID,2050,SOC SCI RES-IQP- Puerta Rico (WI)
CS,526,Human-Robot Interaction
MA,1801,Denksport
BME,2211,Biomedical Data Analysis
WPE,1055,Physical Conditioning
CS,3041,Human-Computer Interaction
MA,559,Statistics Graduate Seminar
MA,505,Complex Analysis
ECE,3113,Introduction To RF Circuit Design
ECE,4802,Introduction To Cryptography And Communication Security
PSY,4800,ST In Psychological Science: Creativity and Learning Science
HU,3900,INQ SEM: Jazz History Database
RE,2731,Ethics
AREN,2002,Architectural Design I
ECE,502,Analysis Of Probabilistic Signals And Systems
HU,3900,INQ SEM: Migrations
HU,3900,INQ SEM: Biomedicine and the Language of Pain
CH,4520,Chemical Statistical Mechanics
AE,5131,Incompressible Fluid Dynamics
MTE,532,X-Ray Diffraction And Crystallography
WPE,2009,Varsity Women's Basketball Team
CS,503,Foundations Of Computer Science
INTL,2910,Topics In Global Studies: Nationalism and Globalism
FP,580,SP: Combustion
STS,1200,Fundamentals Of Global Health
HI,3344,Pacific Worlds
CH,4420,Principles and Applications of Group Theory in Chemistry
MTE,5420,Fundamentals Of Axiomatic Design Of Manufacturing Processes
RBE,522,Continuum Robotics
ME,5225,Fiber Optical Sensors
ECE,3500,Introduction To Contemporary Electric Power Systems
BB,3080,Neurobiology
MTE,5844,Corrosion And Corrosion Control
DS,552,Generative Artificial Intelligence
WPE,1217,Club Sport - Sailing
OIE,2081,Introduction To Prescriptive Analytics
MA,4895,Differential Geometry
HI,3317,Topics In Environmental History: American Disaster
ID,2050,SOC SCI RES-IQP: France (WI)
BUS,691,Graduate Seminar
BME,2610,Introduction To Bioprocess Engineering
MTE,594,ST: Extraction and Recycling of Metals
IMGD,3333,3d Animation II
ECE,578,Cryptography And Data Security
SP,3530,Spanish Film/Media: Cultural Issues
IMGD,2101,3d Modeling I
MA,551,Computational Statistics
PY,3721,Topics In Religion: Buddhism
HU,3910,PRAC IN HUA: Performance & Dramaturgy (FA25)
CS,525,ST: ML on Mobile
MU,3210,Topics in African American Music
MU,2421,String Quartet
HI,2400,Topics In Environmental History: An Animal History of North America
SP,3531,Contemporary Us Latino Literature & Culture
HI,3316,Topics In Twentieth-Century U.S. History: Suburban Dreaming
EN,3257,Topics in African American Literature
TH,3240,Playwriting
ID,2050,SOC SCI RES-IQP- Rabat-Morocco (WI)
IMGD,5200,History And Future Of Immersive And Interactive Media
ME,5303,Applied Finite Element Methods In Engineering
AB,1531,Elementary Arabic I
HU,3900,INQ SEM: Queerly Religious
CS,549,Computer Vision
OIE,558,Designing And Managing Lean Six Sigma Processes
DS,541,Deep Learning
MA,535,Algebra
EDU,2300,Teaching K-12 STEM in the Community
HU,3900,INQ SEM: Communicating Across Cultures
ME,593,ST: Computational Modeling for Biofluid and Medical Devices
PH,2520,Introduction To Astrophysics
MTE,512,Properties And Performance Of Engineering Materials
WPE,1220,Club Sport - Smas: Boffer Games
FY,1101,GPS: Extinctions
ID,2050,SOC SCI RES-IQP: Santa Fe (WI)
BB,526,Synthetic Biology
CHE,4404,Chemical Plant Design Project
FP,570,Building Fire Safety I
PSY,1500,The Science of Creativity
ID,2050,SOC SCI RES-IQP: Schodic option ME (WI)
BME,4828,Biomaterial - Tissue Interactions
MU,3302,Topics In Digital Sound: Sound Design
HU,3910,PRAC IN HUA: Music and Science
CHE,521,Biochemical Engineering
HU,3910,PRAC IN HUA: Literary Magazine Editing
PSY,2404,Developmental Psychology
HI,2335,Topics In The History Of American Science And Technology
MIS,587,Business Applications In Machine Learning
MTE,5816,Ceramics And Glasses For Engineering Applications
ME,4821,Plastics
MIS,582,Information Security Management
CS,548,Knowledge Discovery And Data Mining
HU,3900,INQ SEM: Latin America and the World
PSY,1504,Strategies For Improving Cognitive Skills
PH,2550,Atmospheric And Space Environments
BME,4504,Biomechanics
ECE,4901,CMOS Fundamentals
HU,3900,INQ SEM: Rhetoric of Conspiracy Theories
ME,5503,Medical Device Innovation and Development
IMGD,4030,Advanced Topics in Interactive Audio
PH,571,Biophysics Journal Club
ID,2050,SOC SCI RES-IQP- Montreal Canada (WI)
GN,3516,German Film
ECE,5311,Information Theory And Coding
DEV,510,Design Studio 1
RBE,595,ST: Reinforcement Learning
BB,552,Scientific Writing And Proposal Development
HU,2222,Topics In Medical Humanities
CE,574,Water Resources Management
BUS,2001,WPI Means Business
AR,2750,Topics In Studio Art: Art in the Makerspace
PY,2718,Existentialism And Phenomenology
ME,4429,Thermofluid Application and Design
